,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,conj:expl,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
0,606,0.09405940594059406,0.0462046204620462,0.0,0.07260726072607261,0.0165016501650165,0.039603960396039604,0.20957095709570958,0.04950495049504951,0.18976897689768976,0.0891089108910891,0.01155115511551155,0.09900990099009901,0.019801980198019802,0.04455445544554455,0.00825082508250825,0.024752475247524754,0.0,0.0016501650165016502,0.0,0.057755775577557754,0.0891089108910891,0.066006600660066,0.052805280528052806,0.02145214521452145,0.0033003300330033004,0.026402640264026403,0.06105610561056106,0.05115511551155116,0.0429042904290429,0.013201320132013201,0.0,0.0,0.00825082508250825,0.0016501650165016502,0.019801980198019802,0.01155115511551155,0.05115511551155116,0.08415841584158416,0.0,0.018151815181518153,0.0033003300330033004,0.024752475247524754,0.0594059405940594,0.028052805280528052,0.0016501650165016502,0.013201320132013201,0.06435643564356436,0.0016501650165016502,0.0891089108910891
1,702,0.07692307692307693,0.038461538461538464,0.0,0.0811965811965812,0.017094017094017096,0.037037037037037035,0.17236467236467237,0.05555555555555555,0.2037037037037037,0.06837606837606838,0.008547008547008548,0.13532763532763534,0.027065527065527065,0.05555555555555555,0.01282051282051282,0.03276353276353276,0.0,0.0014245014245014246,0.0,0.06125356125356125,0.07407407407407407,0.042735042735042736,0.05698005698005698,0.02564102564102564,0.009971509971509971,0.03133903133903134,0.06125356125356125,0.05270655270655271,0.03561253561253561,0.017094017094017096,0.0014245014245014246,0.002849002849002849,0.005698005698005698,0.0,0.02849002849002849,0.01566951566951567,0.037037037037037035,0.06695156695156695,0.002849002849002849,0.011396011396011397,0.004273504273504274,0.022792022792022793,0.0698005698005698,0.04700854700854701,0.0014245014245014246,0.01566951566951567,0.07834757834757834,0.0,0.07264957264957266
2,625,0.0816,0.032,0.0,0.0848,0.0144,0.0528,0.1568,0.056,0.1952,0.0624,0.016,0.1616,0.0176,0.0464,0.0128,0.0352,0.0016,0.0016,0.0,0.0608,0.0768,0.0608,0.056,0.0208,0.0096,0.0208,0.056,0.0336,0.0544,0.0224,0.0,0.0,0.0128,0.0,0.0272,0.008,0.04,0.0624,0.0016,0.0112,0.0032,0.0208,0.0928,0.0288,0.0,0.0192,0.0688,0.0,0.08
3,686,0.06997084548104957,0.03206997084548105,0.0014577259475218659,0.061224489795918366,0.014577259475218658,0.04081632653061224,0.1836734693877551,0.048104956268221574,0.18658892128279883,0.07434402332361516,0.011661807580174927,0.13556851311953352,0.04664723032069971,0.048104956268221574,0.008746355685131196,0.027696793002915453,0.0,0.0,0.0,0.06559766763848396,0.07142857142857142,0.03935860058309038,0.04518950437317784,0.043731778425655975,0.007288629737609329,0.03498542274052478,0.08746355685131195,0.052478134110787174,0.04081632653061224,0.014577259475218658,0.0029154518950437317,0.0029154518950437317,0.01020408163265306,0.0,0.03644314868804665,0.016034985422740525,0.03935860058309038,0.07434402332361516,0.0,0.013119533527696793,0.0014577259475218659,0.016034985422740525,0.0728862973760933,0.016034985422740525,0.0,0.027696793002915453,0.061224489795918366,0.0014577259475218659,0.06851311953352769
4,611,0.07528641571194762,0.03600654664484452,0.0,0.058919803600654665,0.016366612111292964,0.05073649754500818,0.16693944353518822,0.049099836333878884,0.19967266775777415,0.058919803600654665,0.01309328968903437,0.14402618657937807,0.016366612111292964,0.07037643207855974,0.011456628477905073,0.0425531914893617,0.0,0.004909983633387889,0.0,0.062193126022913256,0.07528641571194762,0.04582651391162029,0.05073649754500818,0.05237315875613748,0.01309328968903437,0.03273322422258593,0.06546644844517185,0.029459901800327332,0.049099836333878884,0.022913256955810146,0.0,0.0,0.01309328968903437,0.0,0.03273322422258593,0.011456628477905073,0.031096563011456628,0.057283142389525366,0.0,0.01309328968903437,0.0032733224222585926,0.02127659574468085,0.08183306055646482,0.016366612111292964,0.0016366612111292963,0.022913256955810146,0.058919803600654665,0.0016366612111292963,0.07528641571194762
5,750,0.06133333333333333,0.02266666666666667,0.0,0.08133333333333333,0.013333333333333334,0.044,0.19333333333333333,0.04666666666666667,0.20933333333333334,0.07866666666666666,0.005333333333333333,0.14,0.017333333333333333,0.044,0.008,0.03866666666666667,0.0,0.0013333333333333333,0.0,0.064,0.06533333333333333,0.036,0.04933333333333333,0.04933333333333333,0.009333333333333334,0.030666666666666665,0.08,0.034666666666666665,0.044,0.004,0.0013333333333333333,0.0,0.017333333333333333,0.0,0.028,0.010666666666666666,0.04133333333333333,0.07333333333333333,0.0,0.005333333333333333,0.0,0.013333333333333334,0.09333333333333334,0.03333333333333333,0.0,0.021333333333333333,0.08666666666666667,0.0013333333333333333,0.058666666666666666
6,677,0.0827178729689808,0.0206794682422452,0.0,0.07385524372230429,0.013293943870014771,0.04579025110782865,0.1757754800590842,0.03692762186115214,0.20088626292466766,0.07828655834564253,0.014771048744460856,0.14623338257016247,0.022156573116691284,0.04431314623338257,0.008862629246676515,0.047267355982274745,0.0,0.005908419497784343,0.0,0.06794682422451995,0.07828655834564253,0.0413589364844904,0.04283604135893648,0.04283604135893648,0.007385524372230428,0.03249630723781388,0.05760709010339734,0.04874446085672083,0.04579025110782865,0.007385524372230428,0.0014771048744460858,0.0029542097488921715,0.01772525849335303,0.0,0.01772525849335303,0.008862629246676515,0.033973412112259974,0.07385524372230429,0.004431314623338257,0.005908419497784343,0.0,0.008862629246676515,0.0827178729689808,0.03840472673559823,0.0014771048744460858,0.01624815361890694,0.07090103397341212,0.0,0.07976366322008863
7,675,0.07555555555555556,0.03259259259259259,0.0,0.09333333333333334,0.014814814814814815,0.044444444444444446,0.1925925925925926,0.06222222222222222,0.20444444444444446,0.04888888888888889,0.005925925925925926,0.12148148148148148,0.017777777777777778,0.05185185185185185,0.014814814814814815,0.045925925925925926,0.0,0.005925925925925926,0.0,0.057777777777777775,0.06814814814814815,0.04148148148148148,0.0637037037037037,0.035555555555555556,0.014814814814814815,0.02074074074074074,0.06962962962962962,0.034074074074074076,0.045925925925925926,0.011851851851851851,0.0014814814814814814,0.0,0.008888888888888889,0.0,0.028148148148148148,0.007407407407407408,0.04888888888888889,0.05037037037037037,0.0014814814814814814,0.011851851851851851,0.0014814814814814814,0.017777777777777778,0.08888888888888889,0.028148148148148148,0.0,0.01925925925925926,0.08444444444444445,0.002962962962962963,0.06814814814814815
8,697,0.07317073170731707,0.03873744619799139,0.0,0.07604017216642754,0.011477761836441894,0.04878048780487805,0.17360114777618366,0.04591104734576758,0.20229555236728838,0.07890961262553801,0.00860832137733142,0.14777618364418937,0.018651362984218076,0.035868005738880916,0.007173601147776184,0.040172166427546625,0.0,0.0,0.0,0.06886657101865136,0.0703012912482066,0.05595408895265423,0.05308464849354376,0.04160688665710186,0.010043041606886656,0.02582496413199426,0.054519368723098996,0.04447632711621234,0.04447632711621234,0.020086083213773313,0.00430416068866571,0.0014347202295552368,0.015781922525107604,0.0,0.021520803443328552,0.00430416068866571,0.03873744619799139,0.07604017216642754,0.0,0.015781922525107604,0.0014347202295552368,0.01721664275466284,0.07317073170731707,0.028694404591104734,0.0,0.018651362984218076,0.07173601147776183,0.0028694404591104736,0.07173601147776183
9,613,0.08482871125611746,0.02936378466557912,0.0,0.05546492659053834,0.01631321370309951,0.05057096247960848,0.17781402936378465,0.04730831973898858,0.17781402936378465,0.0929853181076672,0.01957585644371941,0.1533442088091354,0.01794453507340946,0.04730831973898858,0.0065252854812398045,0.03425774877650897,0.0,0.0016313213703099511,0.0,0.07504078303425775,0.0799347471451876,0.040783034257748776,0.04730831973898858,0.037520391517128875,0.008156606851549755,0.022838499184339316,0.07504078303425775,0.037520391517128875,0.05057096247960848,0.01468189233278956,0.004893964110929853,0.0,0.004893964110929853,0.0,0.03099510603588907,0.008156606851549755,0.037520391517128875,0.09135399673735727,0.0,0.008156606851549755,0.0032626427406199023,0.01794453507340946,0.07177814029363784,0.021207177814029365,0.0016313213703099511,0.021207177814029365,0.06035889070146819,0.0,0.08482871125611746
