,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.5017981684595949,-0.1924911755075416,-0.008527014340805793,-0.09663228853689394,0.29373603798762243,0.30907984080234163,0.35483101474994017,-0.19584551623260707,-0.617484288820672,0.49857356946061154,-0.5140108512525389,0.1498947164521834,0.3604606397582739,0.271167293342431,-0.2625926593335029,-0.34726869513813635,-0.3647015457297912,0.7001867561947587,-0.1849703366777777,-0.9862642287201164,0.46658800256915867,0.21259541537469745,0.4482711733821831,-0.2920736707453199,-0.27791567722190547,0.17368017580369238,0.07831303103565002,0.2291207076270289,0.3663128386673028,0.05970797056094617,-0.39357188151409417,-0.10994446258313344,-0.2553916016515572,0.9719680424120027,0.635737528290885,0.4843879289766613,0.3716640506733138,-0.226446827326015,-0.40769676737120375,-0.162135779531538,-0.17263117135716285,0.4191143636387338,0.4577280518079402,-0.7200150594566345,-0.07232901245227698,-0.14480728803734985,-0.310764277792771,-0.21867325369192145,0.38906318544668694,-0.65286302978455
PUNCT,-0.5017981684595949,1.0,-0.6356363831302699,-0.6650119025224354,-0.3351188911275549,-0.041967523909988806,-0.39048621583168264,0.3719076153115714,0.023628172889122917,0.47843274932936014,0.11519368815760618,0.9168382199974409,-0.41095178807701843,-0.13667544509990304,-0.34711671078350215,-0.06777377703884808,0.2568503046679675,-0.30658031676928155,-0.16613334957073714,0.45968420257753734,0.4863310123355523,-0.016483035618362247,0.5058298091651113,0.17860809699144461,0.6029569194216096,0.1831418110617931,0.5168844089324081,-0.5616589502701952,0.3199924673877499,-0.13245488491831808,-0.689456523119591,-0.14821167824507825,-0.10870319019960743,0.591606975513556,-0.4659651056977812,-0.633539440071626,-0.5542868927775442,-0.3387258258561162,-0.30766907177400515,0.45482422476585005,-0.6578382500025554,-0.29975243954406666,-0.48448001028336535,-0.181170529777093,0.6491096790504651,0.31559095064756765,-0.6871573096925039,-0.03406203564372818,-0.5732644162902937,0.5123631344846319,0.966808796981344
AUX,-0.1924911755075416,-0.6356363831302699,1.0,0.4532790958953737,0.6629961245958678,-0.5670839000904745,0.5933717082427958,-0.9101158483086338,-0.12126342050388021,0.1566889451300627,-0.4389900305773859,-0.6851978351359502,0.3064866058495351,0.27820699710073676,0.3390035813054045,0.40079694688782685,-0.44323000002195717,0.5933062651588707,-0.18069179460270168,-0.4369143108884531,0.2606071491835108,-0.5992638366003128,-0.9595617276898651,-0.7174175629840411,-0.34472734891325724,-0.406229023414838,-0.2852285928302552,0.7375275624021738,-0.09183219025431932,-0.5369498002214295,0.9402608256768801,0.5892717975399936,0.5938058068082688,-0.05815839767569828,-0.2462229583925757,0.3798829406095514,0.0013712318356791484,-0.26443206097869326,0.7224125132253056,0.14124272295646947,0.9145972881297837,0.5228248334734656,0.3056382735297031,0.042940971910144204,-0.4323698578104536,-0.6843272506532565,0.7603159951280531,0.47556444163626677,0.5860747142444002,-0.5654235556758981,-0.5596655655562459
ADV,-0.008527014340805793,-0.6650119025224354,0.4532790958953737,1.0,0.02373904449894367,0.3479997906349196,-0.026117608631115324,-0.3256215589422044,-0.11329298972053325,-0.2188092868156238,-0.4467056900038263,-0.39260566819094356,0.6247192803653806,-0.15588694554132812,0.35719024661085264,0.47658959063567724,0.1747543657060199,0.5895956776030865,-0.23677441372755975,-0.5179684487488276,-0.06362864159101898,-0.15335782961007155,-0.3820057198488256,-0.32436454910913526,-0.14643141713475524,0.4087146169284644,-0.7645060119015902,-0.006094095606659896,-0.5434830477230272,0.3667138006163896,0.26290258684472034,-0.12144915538821009,-0.43976583201930786,-0.8920726248713975,0.0780646246043567,0.14814960053914442,0.614041688554519,0.5499836209562065,0.26251600270268594,-0.31097209745856613,0.43240286659068083,-0.10231406668387243,-0.15552541972088008,0.17724528009514484,0.06528102381032941,-0.08356928203658953,0.8246098878083747,-0.16603303997592908,0.9376648241608463,-0.7635883393135823,-0.4870340327193963
PART,-0.09663228853689394,-0.3351188911275549,0.6629961245958678,0.02373904449894367,1.0,-0.8561095941299807,0.3532893030892962,-0.4376373174380102,0.21313160345182766,-0.26024510203602086,-0.6674389973515772,-0.3197542092610375,-0.3788168452442301,0.44632342764364186,-0.21147779900635888,0.0485201053971104,-0.6131733403176041,-0.16788984558728504,-0.4521977609648376,0.2464050921870488,0.24019902024242606,-0.09970261762666666,-0.6284865945224132,-0.7835694762320305,0.05759279286250489,-0.7731797834306071,0.036287166525271634,0.45677415316189074,0.1513021042190472,-0.7971561590889215,0.6269144289071933,0.83267625427827,0.6305780920027313,0.24314448953610568,-0.2848691093857216,-0.07613390347139104,-0.5805413244945774,-0.7454636048755178,0.06922900621506517,-0.1614487924055491,0.8229703093796246,0.7685162280192085,0.7149420899307046,0.142192459714823,-0.3777168400055405,-0.45209627500484695,0.09107855863058312,0.9415137409963183,0.3000317482782395,-0.13894074671179546,-0.276910741482357
CCONJ,0.29373603798762243,-0.041967523909988806,-0.5670839000904745,0.3479997906349196,-0.8561095941299807,1.0,-0.49476585116621713,0.5374069425224122,-0.013604339840230711,-0.1929346734071543,0.42891645739112216,0.11375918862880681,0.38917248825746953,-0.5387497444761048,0.11645311788302984,-0.1211920431831472,0.6808578765698747,0.0990127039583415,0.2874042644820972,-0.20708359309729313,-0.44451650164350576,0.3820776088759447,0.6232119098105882,0.7173409694637224,-0.16775440520997956,0.8337441413521511,-0.40843297834281905,-0.4645691353942324,-0.4536080070731537,0.9912738905085162,-0.572447450959974,-0.7764122635615591,-0.8407922622774988,-0.6702364139917136,0.45189756174470447,0.06719573511443512,0.7661719985389085,0.9363880327403878,-0.26164846326668234,-0.3076358021630904,-0.5929933455593763,-0.6294836828351608,-0.4721502378355079,-0.08762870076427405,0.3134687203199378,0.5913640298744427,0.08178207623046554,-0.8761586539817423,0.05106654507450605,-0.13713471056407625,-0.029422746766662004
NOUN,0.30907984080234163,-0.39048621583168264,0.5933717082427958,-0.026117608631115324,0.3532893030892962,-0.49476585116621713,1.0,-0.6816830067525346,-0.7012307780315308,0.2864624045459555,0.1743708510552742,-0.6172059163287918,0.45912557033100637,0.8166135885409719,0.7436080649739495,0.4787458750280424,-0.8634228016549623,0.346800165070821,0.5502290257547695,-0.6453447324651966,-0.22890208274660825,-0.6280678734686479,-0.7262385311584824,-0.35779517336248035,-0.12042532399481835,-0.6732384353026752,0.46850255891024856,0.5278253414338824,0.6439358273609799,-0.4989739632760913,0.738367226413406,0.045428830528271194,0.6091440965567836,0.27491800079314693,0.3005045888472432,0.767860244673674,0.09860603794537036,-0.23998205401942674,0.7071068535744922,0.5146954987458715,0.3388809365561717,-0.00875367381613502,0.15270497743055883,0.5585771406386855,-0.7870462248563511,-0.953016518854202,0.3212122021666067,0.12043502947855333,-0.008746626436243254,0.24451812720118232,-0.5122342813165569
SCONJ,0.35483101474994017,0.3719076153115714,-0.9101158483086338,-0.3256215589422044,-0.4376373174380102,0.5374069425224122,-0.6816830067525346,1.0,0.38820322861535667,-0.5370733696670831,0.27527948172651906,0.505306818959683,-0.47230483602957146,-0.3308915775574347,-0.536642899921919,-0.6052426017587823,0.43478602702786506,-0.7704659915489899,0.04145637734647834,0.6043370288353747,-0.4000967540856294,0.8740366333844027,0.9578763649513223,0.6700900999380276,0.20177728167543038,0.3048948006741835,0.07371256161420468,-0.6282247590751638,-0.1008045176769527,0.5594053322268958,-0.8426211959271728,-0.3922325842098256,-0.5884742415215538,-0.11050537481919102,0.340477723246578,-0.4001577639752747,-0.007092993130770609,0.257303421255148,-0.9140253842075844,-0.5269715443727437,-0.6824533851199517,-0.25022898541338184,0.044095349879293776,-0.08520219177613314,0.30424059274448895,0.794635917717256,-0.7363613204976192,-0.28944829941452405,-0.44305375859441015,0.41759949763408233,0.3265852306165867
VERB,-0.19584551623260707,0.023628172889122917,-0.12126342050388021,-0.11329298972053325,0.21313160345182766,-0.013604339840230711,-0.7012307780315308,0.38820322861535667,1.0,-0.46569275626222617,-0.252093669124073,0.12635344347063754,-0.7543816945322378,-0.6873141538988494,-0.9202299655563579,-0.7910164287115368,0.5382057654016252,-0.4499781736736317,-0.587184050073156,0.7935882164024094,0.21367276464239326,0.6481323296000396,0.35898403853648153,0.15452995838865796,-0.3206292019744471,0.1271711849239756,-0.4967537768221683,0.1467770562502743,-0.6715086422315298,0.06185636571896165,-0.15556153346767934,0.5767858191616585,0.03470288008792559,-0.014160827702666863,-0.3350779504539649,-0.5343756254672122,-0.34880103714799465,-0.14769630617325286,-0.5591366678016191,-0.6829082979061826,0.2285376208730082,0.693852211805617,0.5114561533364258,-0.7626153141526758,0.28720922598789117,0.721178700144268,-0.23434243004312355,0.3766418153003347,-0.040314860046932445,-0.3684516119585928,0.10866421240758473
ADP,-0.617484288820672,0.47843274932936014,0.1566889451300627,-0.2188092868156238,-0.26024510203602086,-0.1929346734071543,0.2864624045459555,-0.5370733696670831,-0.46569275626222617,1.0,0.18929624881113216,0.24391146348601872,0.33700064928213835,0.04418318736968466,0.3923572044495037,0.479126004867222,-1.7593365260261547e-05,0.6096470287420543,0.1176028196066083,-0.392120097904575,0.5922646122126389,-0.832078889117552,-0.3076534731781366,-0.1345944462891748,0.134415911904177,0.13215766329023457,0.31654358485553297,0.08711770217343902,0.2859776938046452,-0.3013192259497196,0.10117691219600854,-0.08278852433961023,0.2871206032126521,0.472150386494813,-0.49940972286638774,0.04870767177857902,-0.1184170796874254,-0.16728134763438854,0.6825796290768328,0.934726699416929,-0.16647828940716,-0.2877356505297224,-0.6700233852767536,-0.13108638786054003,0.2584353820120444,-0.3803989185676217,0.18380175925341932,-0.17468437788291222,-0.17469137325749043,0.04931046389974927,0.4506706908041113
