,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,acl:relcl,advmod,punct
len,1.0,-0.01133484468184361,-0.9253399955792307,-0.5147366160435287,0.5803326372318375,0.5566497122370275,0.5094632692934615,0.0750755898149015,0.26434261486945787,0.9717025048227987,0.6105804008026716,-0.053595362423709866,-0.022912818132568197,-0.9034011059317506,0.311567205411835,-0.3682776961734168,-0.6379459846238962,-0.8705103169454077,-0.825176268292347,-0.3633486887900872,0.08463983632551879,-0.021894801710701135,-0.511417115547434,0.0802552481448302,0.8399773677641988,0.969398967338971,0.7637898116961576,0.7075193836737592,0.6072055171836456,-0.11594627556614723,0.11571281892267382,-0.4545887969319982,0.08183430883257879,0.8336609687587662,0.9471928430736419,0.5348510244633367,0.10749718037557286,0.4012873846361151,-0.8837909427905607,-0.2693083904870983,0.17511698598991332,-0.42675308668161854,-0.34579710386631674,-0.10302715044520673
PUNCT,-0.01133484468184361,1.0,0.21458718232159985,-0.194944649900212,-0.647076763196066,0.7856450404850702,0.26113340805156116,-0.9951400940401695,-0.9518260303427395,0.06674220683695456,-0.5460385649603169,-0.30207639161065064,0.9966302618080402,0.3864220419674113,0.251955859979199,-0.29217111157420866,0.3029953907356197,0.5016770653012703,0.20778904071174253,-0.8805392738312734,-0.9858247324905913,0.8200918876932208,0.7871734026376599,-0.7215196854392111,0.5043027156326914,0.2304058468432424,0.6296017547312021,0.6620773223982813,0.44291960610709685,-0.35670493890198873,-0.28230565733299534,0.47010841263731484,0.9604218467768565,0.15820280370247783,0.09102928090916415,0.7924700793707403,-0.4878169274089449,0.8894676099006068,0.45139683250971424,-0.9591151988046048,-0.8124169295141637,-0.8905578096884474,-0.43472926646793464,0.8793722820449438
AUX,-0.9253399955792307,0.21458718232159985,1.0,0.16901258919213935,-0.8284309556891881,-0.4335443393704398,-0.15557351439376138,-0.2484649382220663,-0.3831965164565397,-0.8120200892187663,-0.48969882192589925,-0.31622615514580443,0.19864272791303883,0.978481424251103,-0.528575660849571,0.5618443454727384,0.8778624149962839,0.9003409188835527,0.6350973121147742,0.062348008707623435,-0.23116282079169573,0.004823209076428037,0.5185012864008113,-0.4413799697796773,-0.7280784808893572,-0.8619920217639123,-0.6071233226204678,-0.4462343163153126,-0.26079655520389977,-0.2618066049872809,0.13996304003512725,0.7582857659154513,0.03658833677043044,-0.5690699555561575,-0.7585452104725914,-0.4201153553618618,0.07820394239327924,-0.2524180417856825,0.9574764253385724,0.04007038455472329,-0.14887696654126853,0.25259287344458103,-0.034573670749411506,0.1254046888771
ADV,-0.5147366160435287,-0.194944649900212,0.16901258919213935,1.0,0.24907774354535037,-0.23656706565608313,-0.9976798089128084,0.09849695264321066,-0.08925172000456842,-0.7016905063509148,-0.6895392506182147,0.8815108216370167,-0.12060290549116916,0.217976521936988,0.5511685728052821,-0.48542238842153823,-0.3236475144433766,0.36385031526631734,0.8257158502401025,0.6080467782589654,0.02847562355885809,0.32348327095424256,0.40434006850857895,0.6773689167915172,-0.3902447029735649,-0.5103025197058906,-0.4413780535717583,-0.6857336650309063,-0.9487729450931626,0.9037971962442348,-0.7972182009478148,-0.49258116448813927,-0.016236442304420347,-0.9013805374364412,-0.7614465473827455,-0.20557599675228327,-0.6802437330915417,-0.22021312242284213,0.23696651161739532,0.3650376507980786,-0.39330568841796704,0.29388090430523955,0.9574268668256247,0.26588952059410115
PART,0.5803326372318375,-0.647076763196066,-0.8284309556891881,0.24907774354535037,1.0,-0.058170538344244474,-0.2867246509417872,0.6427705044636769,0.6744954810297308,0.4019308366865034,0.40795207518236276,0.6413518092178712,-0.6107173952163665,-0.8687255750666001,0.4774336793486149,-0.46706565841842684,-0.9172595864252124,-0.8114659295472211,-0.34001529832562344,0.502677511713424,0.6041474846766559,-0.25016892793508033,-0.6175222863038049,0.8545064825426398,0.24599112336223225,0.43036029305479184,0.0826279217263163,-0.13147889960277195,-0.2651348830207904,0.627991993254747,-0.23197631915757244,-0.9437162154527713,-0.4362343731916566,0.1117666419481127,0.3315687920160475,-0.06230876772050644,-0.061921249640427445,-0.23972990786817405,-0.8736613179113941,0.4800940945133436,0.3396586351270889,0.26220761921333313,0.4974547836758258,-0.38751496799149876
CCONJ,0.5566497122370275,0.7856450404850702,-0.4335443393704398,-0.23656706565608313,-0.058170538344244474,1.0,0.28988557413874444,-0.7645486603797416,-0.6476127961320503,0.5465608490140282,-0.2325819644182264,-0.030982167321977783,0.7967865268310099,-0.2565107594999575,0.6052748634701838,-0.6606761208478582,-0.29912641339200396,-0.09065879392391038,-0.16955542655397685,-0.8297445498502547,-0.7707742621796316,0.7806189147911297,0.4238586155149048,-0.35342503247666235,0.9182600729020175,0.7419903999812362,0.9547477145657495,0.8683447688311758,0.5300511813166282,-0.11581148823013526,-0.39702836111019857,-0.07525850138665507,0.8728548908825197,0.46490707824181565,0.5316134882431046,0.9994206130858421,-0.542955398176216,0.9813840092335134,-0.1812675875281861,-0.9020122179792743,-0.684583273270312,-0.9785172629824439,-0.3319496812665729,0.7553187269800755
NOUN,0.5094632692934615,0.26113340805156116,-0.15557351439376138,-0.9976798089128084,-0.2867246509417872,0.28988557413874444,1.0,-0.16581210816353,0.022439127248874643,0.6982610746470951,0.6416961350594266,-0.8865368698424618,0.1878763879584726,-0.19151353185142972,-0.5217660939797917,0.4541425231085767,0.33558147253962134,-0.32646335724686354,-0.8000647754671721,-0.6601259965627513,-0.09639020281156939,-0.2603016348949759,-0.3444380482254498,-0.7148061578379796,0.42249304829462714,0.5218448337109334,0.4810457587010682,0.7228531960198961,0.9651951638133808,-0.9125421681466199,0.7632962826742768,0.5139855139400893,0.08344653848103652,0.8999379399256784,0.7584814389630884,0.2598356790605071,0.6340923044009528,0.28030123514562405,-0.20551274378456583,-0.4266369773950436,0.33014136107244685,-0.35280788293335946,-0.9717923287521033,-0.20004556523184105
SCONJ,0.0750755898149015,-0.9951400940401695,-0.2484649382220663,0.09849695264321066,0.6427705044636769,-0.7645486603797416,-0.16581210816353,1.0,0.9763105402511228,0.012358188147264476,0.6254572782019006,0.22559717649245353,-0.9986181780255606,-0.426472537216855,-0.29931672497874995,0.33313787700584685,-0.28867779411273536,-0.5557252483134181,-0.2989463549017555,0.8305393259036893,0.9970346386665286,-0.8598200877878267,-0.8422252514864885,0.6709610915064864,-0.4609684706994611,-0.1706114591640068,-0.584547193340637,-0.5964115961472792,-0.3525803452794976,0.2778249858966937,0.3595700112487039,-0.4395073091413892,-0.9695393768681347,-0.06466007695834343,-0.007278356496769194,-0.7746244019136937,0.5569792495507736,-0.8738238457757634,-0.4936286743784687,0.9335891899854454,0.8609800160822786,0.867858437821588,0.3480259308367004,-0.9160598865899959
VERB,0.26434261486945787,-0.9518260303427395,-0.3831965164565397,-0.08925172000456842,0.6744954810297308,-0.6476127961320503,0.022439127248874643,0.9763105402511228,1.0,0.22153267563540627,0.7730197565604469,0.10899190516870576,-0.9655647214716424,-0.5603092844850146,-0.3178904706179709,0.33580704058123273,-0.32670827568351174,-0.6998214893404661,-0.49762396173076295,0.6931034839771915,0.9829711224647187,-0.8824213344116045,-0.9383233258805522,0.5863035684721661,-0.29560960128780295,0.019496191721173464,-0.4203112693421799,-0.41018079151353953,-0.15340312617912896,0.14934791438641684,0.4615047296702545,-0.430399318241283,-0.9359307159442246,0.1520087970296831,0.20624396417547114,-0.663980330152053,0.6396592609486421,-0.7766127113214555,-0.6257190471879609,0.8349917333030596,0.9117308461130672,0.7587191504407835,0.18183208667607942,-0.9411207804476187
ADP,0.9717025048227987,0.06674220683695456,-0.8120200892187663,-0.7016905063509148,0.4019308366865034,0.5465608490140282,0.6982610746470951,0.012358188147264476,0.22153267563540627,1.0,0.6807617088426713,-0.2878582601888652,0.0371090224668959,-0.8026908865193755,0.11848513239534737,-0.18435474279723088,-0.4383083180737637,-0.811517533275934,-0.9043538357432629,-0.48698907669489816,0.03929821720533472,-0.08511941949135358,-0.5159235640517383,-0.13164825135696095,0.8172845619427582,0.9507970396943837,0.7704205050539104,0.7896465353196678,0.7710824427612787,-0.3471500642509527,0.3030786535195751,-0.23612368995170352,0.09569456441944305,0.940475034894009,0.9961272757969192,0.5202466115821194,0.25998429407741347,0.41507113100197623,-0.7898515716811728,-0.3453978134324698,0.2318111447577468,-0.45605480110337265,-0.5551255528726108,-0.1359663782968938
