,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-1.0,0.9999999999999999,1.0000000000000002,-1.0,1.0,-1.0,1.0,-0.9999999999999999,-1.0,1.0,-1.0,-1.0,0.9999999999999999,0.9999999999999999,1.0000000000000002,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.9999999999999998,-1.0,1.0,1.0,-1.0,-0.9999999999999999,1.0,1.0,-1.0,-0.9999999999999998,1.0,1.0,0.9999999999999999,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
PUNCT,-1.0,1.0,-1.0,-1.0000000000000002,0.9999999999999999,-0.9999999999999999,0.9999999999999998,-1.0,1.0,1.0,-1.0,0.9999999999999999,1.0,-1.0000000000000002,-1.0000000000000002,-1.0,-1.0,1.0,-1.0,1.0,0.9999999999999998,-1.0,1.0,1.0000000000000002,-0.9999999999999999,1.0,-1.0,-1.0000000000000002,1.0,1.0,-1.0,-1.0,0.9999999999999998,1.0,-1.0000000000000002,-1.0,-1.0,1.0,1.0,-0.9999999999999999,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0000000000000002,1.0,1.0,1.0,1.0
AUX,0.9999999999999999,-1.0,1.0,1.0,-1.0000000000000002,1.0,-0.9999999999999998,1.0,-1.0,-1.0,1.0000000000000002,-0.9999999999999998,-1.0,1.0,0.9999999999999998,1.0,0.9999999999999999,-1.0000000000000002,1.0,-1.0,-1.0,1.0,-0.9999999999999999,-1.0000000000000002,1.0,-0.9999999999999998,1.0,1.0,-1.0000000000000002,-1.0000000000000002,1.0,1.0,-1.0,-1.0,0.9999999999999998,0.9999999999999998,1.0,-1.0,-1.0000000000000002,1.0,-0.9999999999999999,0.9999999999999999,-0.9999999999999999,-1.0,-1.0,1.0,0.9999999999999998,-1.0,-1.0,-1.0000000000000002,-1.0000000000000002
X,1.0000000000000002,-1.0000000000000002,1.0,1.0,-1.0,1.0000000000000002,-1.0000000000000002,1.0,-1.0000000000000002,-1.0,1.0000000000000002,-1.0,-1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,-1.0,1.0,-1.0000000000000002,-1.0,1.0,-1.0,-1.0000000000000002,1.0000000000000002,-1.0000000000000002,1.0,1.0,-1.0,-1.0,0.9999999999999999,1.0,-1.0000000000000002,-1.0,1.0,1.0,1.0000000000000002,-1.0000000000000002,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0000000000000002,-1.0,-1.0,-1.0
ADV,-1.0,0.9999999999999999,-1.0000000000000002,-1.0,1.0,-0.9999999999999999,1.0,-0.9999999999999999,1.0,1.0,-1.0000000000000002,1.0000000000000002,1.0,-1.0,-1.0,-1.0000000000000002,-0.9999999999999999,1.0,-1.0,1.0,1.0,-1.0,0.9999999999999998,1.0,-0.9999999999999998,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0000000000000002,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0000000000000002,1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0,1.0
PART,1.0,-0.9999999999999999,1.0,1.0000000000000002,-0.9999999999999999,1.0,-0.9999999999999998,1.0,-1.0,-0.9999999999999998,0.9999999999999998,-1.0,-1.0,0.9999999999999999,0.9999999999999998,1.0,0.9999999999999999,-1.0,0.9999999999999998,-1.0,-0.9999999999999998,1.0,-0.9999999999999998,-1.0,1.0,-1.0,1.0,1.0,-1.0,-0.9999999999999999,1.0,1.0,-0.9999999999999998,-1.0,1.0,1.0,1.0,-0.9999999999999999,-1.0,0.9999999999999999,-1.0,0.9999999999999999,-1.0,-1.0000000000000002,-1.0,1.0,1.0,-1.0,-0.9999999999999998,-1.0,-1.0
CCONJ,-1.0,0.9999999999999998,-0.9999999999999998,-1.0000000000000002,1.0,-0.9999999999999998,1.0,-1.0000000000000002,1.0000000000000002,1.0,-1.0,0.9999999999999998,1.0,-0.9999999999999998,-1.0,-1.0,-1.0,1.0000000000000002,-1.0,1.0,0.9999999999999999,-0.9999999999999999,0.9999999999999999,1.0,-1.0,1.0,-1.0,-1.0,1.0000000000000002,0.9999999999999999,-1.0,-1.0,1.0,0.9999999999999999,-0.9999999999999998,-1.0,-1.0000000000000002,1.0,1.0000000000000002,-1.0,0.9999999999999999,-1.0000000000000002,1.0,0.9999999999999999,1.0,-1.0,-0.9999999999999998,1.0,0.9999999999999999,1.0000000000000002,0.9999999999999999
NOUN,1.0,-1.0,1.0,1.0,-0.9999999999999999,1.0,-1.0000000000000002,1.0,-1.0,-1.0,1.0000000000000002,-1.0,-1.0000000000000002,0.9999999999999999,1.0,1.0000000000000002,0.9999999999999999,-1.0000000000000002,1.0,-1.0000000000000002,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0000000000000002,1.0,-1.0000000000000002,-1.0000000000000002,1.0,0.9999999999999999,-1.0,-1.0,1.0000000000000002,1.0,1.0000000000000002,-0.9999999999999999,-1.0000000000000002,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0000000000000002,-1.0000000000000002,-0.9999999999999998,-1.0000000000000002,-0.9999999999999998
SCONJ,-0.9999999999999999,1.0,-1.0,-1.0000000000000002,1.0,-1.0,1.0000000000000002,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.9999999999999998,-1.0,1.0,1.0000000000000002,-0.9999999999999999,1.0000000000000002,1.0,-1.0,1.0000000000000002,-1.0,-1.0,0.9999999999999998,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0000000000000002,-1.0000000000000002,1.0,0.9999999999999998,-1.0,1.0,-1.0,1.0,1.0,0.9999999999999999,-1.0,-1.0,1.0,1.0,0.9999999999999998,1.0000000000000002
VERB,-1.0,1.0,-1.0,-1.0,1.0,-0.9999999999999998,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.9999999999999999,1.0,0.9999999999999999,-1.0,0.9999999999999999,1.0,-1.0000000000000002,1.0,-1.0,-1.0,1.0,1.0,-0.9999999999999999,-0.9999999999999999,1.0,1.0,-1.0,-1.0,-0.9999999999999999,1.0,1.0,-0.9999999999999998,1.0,-1.0,0.9999999999999999,1.0,1.0,-0.9999999999999999,-1.0,1.0,1.0,1.0,0.9999999999999999
