,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,compound,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9546428976854628,0.6501577783077988,-0.009458635255499486,-0.1140141305695489,-0.32225437709015153,0.3338145733981198,0.09466160238996683,-0.5635858552711605,0.83055717716409,-0.7297611634596164,-0.052943033351626104,-0.31221416983502837,0.14134156932098316,-0.16284601777527466,0.35538380397401237,0.581169935705951,-0.09800122707009626,-0.9800632463976673,-0.18883737545656146,0.5944096051588706,-0.051759765979088844,0.07929727275573342,0.21254230948969535,0.5305953375086323,0.34384752140794095,-0.1554105666059191,0.4607123295042035,0.1402003569975305,-0.5343692290132234,-0.7101302668145044,-0.1593966389556481,0.17075362540166766,-0.4972906423569487,0.5177778161166952,0.6100684821315686,0.6064057328134853,0.4631138310380619,0.08523515177921112,0.3457806901229187,0.647811000978168,-0.7124458572373344,0.2387285028188952,0.2002773098613066,0.4667840378799173,-0.05379630413975333,0.25068010278093883,-0.9363380796684079
PUNCT,-0.9546428976854628,1.0,-0.5535512204465541,0.16452338209597428,0.0828841684581583,0.13511904481377662,-0.48643023206016667,0.12653564764310798,0.5539560473444585,-0.7233115722126673,0.6884431603251734,-0.049589977578317616,0.3379071260310864,-0.12354962924273206,-0.004790750767779268,-0.2789548000734541,-0.7180157960554293,0.2800252815493453,0.9657394976448842,0.3842423687023184,-0.40643149462391026,-0.012602886036419163,-0.1936986829961332,-0.025546429810310283,-0.4999505548946727,-0.5413873224803911,-0.05622814704131243,-0.6126054310345713,-0.16439407341925139,0.3899982355191241,0.6530198528139426,0.12906263365988382,-0.07287457099581343,0.34213560486819833,-0.4389890620852596,-0.43881005276301593,-0.7259691293363637,-0.46731657063816645,-0.18218319681941697,-0.36485099130042437,-0.5064955404778974,0.6464416500508852,-0.2527001847982484,-0.01950382172581889,-0.5414117957284329,0.25505713862559093,-0.26682575783930923,0.9721605137323923
AUX,0.6501577783077988,-0.5535512204465541,1.0,-0.2201800991162744,-0.04347715504567428,-0.2565827782477771,-0.043794144899667146,0.09464530057317248,-0.1705976729691257,0.5537504381755716,-0.9033303778999536,0.20110541931652196,-0.23932321326514433,-0.17966683021999613,0.10118500336884287,0.26137900365944605,-0.019906927142376463,0.5295910383253155,-0.6126029241286761,-0.1311966112881481,0.22783193469685067,-0.12052649028578664,0.36621002315782103,0.35143952688299274,0.5977127390693894,-0.07928698651039873,-0.0408750244429881,-0.11514638199291799,-0.5104199620828725,-0.2887319957392042,-0.3540472026615927,-0.5111376601096352,0.12402836304805955,-0.2158639015476092,0.5032361443530685,0.40822074357442373,0.045387933743846615,0.47561582636580674,0.265483538310817,-0.3500064949793587,0.8020183979162484,-0.9509180437471382,0.32870070802332174,0.2855188619388062,0.5364461153240342,-0.09352742098843765,-0.42704814434625615,-0.42504497964984644
ADV,-0.009458635255499486,0.16452338209597428,-0.2201800991162744,1.0,0.3390952665584421,-0.5617047779862057,-0.4171704113322156,0.45818074478803955,-0.3686231443716293,0.2696027681773603,0.1346859187340798,-0.6390375776472245,0.003580746847482804,0.5943838837272722,-0.387255744949859,0.49375917722644,0.07395947870293003,0.3092923748395423,0.1479336350355591,0.5539435847325501,0.5957155264513802,-0.05581902285033042,-0.5504278083956128,6.711762607707721e-05,-0.5779763179227764,-0.46770728708846476,-0.6559403036924103,-0.45033253255002814,0.31470090102850967,-0.6865977696675318,-0.11534993740000596,0.5066696979520487,-0.05712585944378244,-0.4384627962135698,-0.13324830546866667,0.21906006776172327,-0.3555204614915646,-0.12337609152827464,-0.22740740054181352,0.3329439518636055,-0.13028887005106932,0.2069663135393809,-0.11238747118686679,0.5440502115110808,-0.7493199109926584,0.9316347256510235,0.11426029619567465,0.15349841096998518
PART,-0.1140141305695489,0.0828841684581583,-0.04347715504567428,0.3390952665584421,1.0,-0.4312092661479737,-0.5303486526918877,0.22130180096486696,-0.2929485807316641,-0.13629751967031062,-0.0023461467507594467,-0.17509487406144186,0.3903468228269801,0.5445804048161031,0.14403525343716778,0.1709177091157247,-0.07091400600443229,0.04370095585319286,0.2203161719482516,-0.11684127702029777,-0.10709409835690202,0.4098255967845646,-0.10133907034419182,0.045476874510513444,-0.5830717634481769,-0.38381577193022304,-0.299485468332475,-0.2368473884950276,-0.08526691630086239,0.0912315239226855,0.1614727574665381,0.6978921061400762,0.33197265858782554,-0.07495872150456669,0.17935703147984805,-0.0728516470145213,-0.19549127449469178,0.4760324552574683,0.5469724954768993,0.04372200288283158,-0.43944588929664563,-0.07078264909071866,0.15911494902541304,0.3719171883158465,-0.6019687211650052,0.4776812414801362,-0.3660680187622834,0.17475609843994583
CCONJ,-0.32225437709015153,0.13511904481377662,-0.2565827782477771,-0.5617047779862057,-0.4312092661479737,1.0,0.41574915402312496,-0.7603541448715766,0.11538699659487625,-0.4124083691413163,0.1367149851707701,0.5246743463579155,-0.25281225353200176,-0.5050237839690199,0.31467942870010596,-0.13638272126978263,0.06704616854439933,-0.31430050575649165,0.22036853027078954,-0.5710920727494587,-0.537490522163897,0.29108969874764307,0.11181204474568164,-0.6687748973680938,-0.07568136219290719,0.6803201531021934,0.9486573733292565,0.13572475437753512,-0.014469595929032868,0.2758228765624241,0.49636561702500065,-0.349968298715171,-0.3423381829082137,0.7529265839120968,-0.3280522793454112,-0.6275837344744802,0.254009292830384,-0.11051082503836332,-0.1685965927123639,-0.3045429647786308,-0.3476442005921588,0.19658347623744526,-0.3785327046973567,-0.5814641569000796,0.5043330920154295,-0.7275370047649597,-0.11922252553647629,0.12814831640595262
NOUN,0.3338145733981198,-0.48643023206016667,-0.043794144899667146,-0.4171704113322156,-0.5303486526918877,0.41574915402312496,1.0,-0.674345536640081,-0.15801084650666572,0.12022499360536004,-0.0025144538625901935,-0.14256766890291644,-0.140592745471664,0.06185839633034458,0.06036225430098232,-0.3888713233551534,0.6580767679774076,-0.5292308094277526,-0.42883325096959674,-0.17579953281025576,0.019690276037959725,-0.29285420770379733,0.05184248893796991,-0.48877171111865025,0.4570601385975292,0.7556428820760892,0.38190645826892994,0.642382864048176,0.14731677794268203,0.0012745466639106167,-0.19990267750954005,-0.10709590077968982,-0.2894547370693428,0.32766544947080994,0.17774093175098976,-0.19659200577065533,0.7272977039322298,-0.2313172147108787,-0.3955948532613741,0.46609220030004883,0.22538549458147614,0.11217624476938051,-0.2762011592344446,-0.22897023691145396,0.5447608705789784,-0.6112463215109033,0.3343066301194652,-0.4830174093622777
SCONJ,0.09466160238996683,0.12653564764310798,0.09464530057317248,0.45818074478803955,0.22130180096486696,-0.7603541448715766,-0.674345536640081,1.0,0.1836031349524862,0.37353049212539735,-0.0538866775304173,-0.2083786241786416,0.30460420085211587,-0.018647760627318693,-0.2102352514582798,0.13499222876325334,-0.46456369699745875,0.33085148985769125,-0.049346993878930795,0.5522745189902996,0.5157116667085028,-0.18236995157430352,-0.1067925683616946,0.8596309612993988,0.010785399516962361,-0.7364559692971043,-0.7813583872303832,-0.1454705609065631,-0.019438524047528907,-0.14136010204427632,-0.4485710488549044,0.07579996685723463,0.5308984418939423,-0.7176045889518856,0.0488951257348691,0.7834651751744615,-0.4083410715607651,-0.021739492556054552,0.2078344553825764,-0.06043380014550128,0.20799916149511624,-0.10169756174648334,0.3497794564964726,0.36281291305210933,-0.5003901930228245,0.6181129347569956,0.16050743140943086,0.03583215188104001
VERB,-0.5635858552711605,0.5539560473444585,-0.1705976729691257,-0.3686231443716293,-0.2929485807316641,0.11538699659487625,-0.15801084650666572,0.1836031349524862,1.0,-0.34562245037365474,0.2762044257194944,0.2894532410913468,0.1619187653616324,-0.6292801799594229,0.44217756733234836,-0.5376880950339874,-0.5831010604492537,0.23351317307116015,0.4389519667558736,0.3092249225349573,-0.4420877831820319,-0.5146299991680062,0.5660970311426363,0.359393241137901,0.2894325555307397,-0.38455208822583736,0.04673940705466199,-0.036164317591022996,-0.40189132779935194,0.6543767976809803,0.004350186083229745,-0.4676831486307947,-0.15895869472144025,0.08599391736227324,-0.5139629067970318,-0.008148364665460353,-0.5681654085946399,-0.6346761411077428,0.22045336674735885,-0.5359593692025392,0.050905235327745574,0.30899839846153404,0.3698321256665055,-0.44471745717548905,-0.03941044740190618,-0.29737851185127745,-0.00986895878983865,0.5019498141379716
ADP,0.83055717716409,-0.7233115722126673,0.5537504381755716,0.2696027681773603,-0.13629751967031062,-0.4124083691413163,0.12022499360536004,0.37353049212539735,-0.34562245037365474,1.0,-0.7303518513080671,-0.2294446815504832,-0.16574674588468796,0.002729638091440422,0.04200758260225184,0.342600041301431,0.32950517469998836,0.19817149156542369,-0.8192808542631711,0.18210930403003242,0.8256579325516437,-0.33077739256317346,0.044097907536599354,0.30810590361862994,0.3960415227183583,0.03124098248682345,-0.32129275871034546,0.2820788604961314,-0.05868937360542092,-0.6771000027869833,-0.8589523926394202,-0.22201553699227167,0.17730849008985547,-0.5344301089875465,0.265141285295911,0.8177903464602043,0.26911284771174115,0.1059634018726314,0.07870331246499854,0.1330316726070024,0.6779429952909901,-0.5853207286967678,0.23334198499212913,0.34266575665162,0.1594117380550992,0.1739504579275132,0.17367805661372976,-0.7209543705716753
