,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,parataxis,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9781966545311331,0.27209808683043923,0.5367371131748413,-0.494957023499455,-0.43278284075549855,0.2638707645845784,-0.34778156275961886,0.49628033723852694,-0.33945284689469696,-0.518367134439907,-0.8727237925775381,0.7670761956334605,0.6979140071626696,-0.5888057668435449,-0.5508061970913449,-0.4742309216078314,-0.8083087302861885,-0.6580470349347597,-0.9675315102598205,0.4318394782274488,-0.1500180434840917,0.14518380887340676,0.4525121851203094,0.4501803242436182,0.2712872698579281,0.7564195923896319,0.8272458677374279,-0.462594450186866,0.3672231306024446,-0.9468033698826576,-0.2150927643230217,-0.04526261644556403,0.35799909059545637,0.436348885825625,0.9357217872602427,-0.5747796661413084,0.6649273698121674,-0.44596396426986484,0.5944212403477497,0.4690602216005465,-0.12482392573137067,-0.9009826969814309,0.030007972124477426,-0.013133814421282662,0.24881173913953492,-0.8806504937679276,0.7791524832736179,0.5796063550709706,-0.517768171819797,-0.9842249984148737
PUNCT,-0.9781966545311331,1.0,-0.14225897664357295,-0.45711208102962625,0.6452603855504337,0.38998805783867063,-0.4573829717408131,0.1640164544483611,-0.306359456928893,0.24006078026901875,0.5703883076334252,0.7523541916877159,-0.6487476521175649,-0.7078673331237298,0.6768822160595288,0.3878332527151607,0.6172547125558132,0.6766368991694584,0.6539918032224664,0.9808560505332892,-0.5918569606306024,-0.047021245758673426,-0.20336110895737108,-0.45317437160413515,-0.5954034345026921,-0.26294475751183144,-0.804682977391564,-0.8606191291769603,0.3769806565098742,-0.3796841136390816,0.9140177972466519,0.3297411192518718,0.22874625653443006,-0.24171896587135014,-0.48981422246233075,-0.8781637447207236,0.5732640809963613,-0.6089391979229853,0.34715588578461304,-0.48442799689440413,-0.3742569311634572,0.09126095154242878,0.7935955093458024,0.1471226053254448,0.21912358052732722,-0.18002257124801155,0.9044947792358483,-0.8269702571001212,-0.4519103033799288,0.3619234957192617,0.9499344836467495
AUX,0.27209808683043923,-0.14225897664357295,1.0,-0.24604836960270388,0.6237451651945082,-0.8833211712000241,-0.42601612142550677,-0.2993525451366586,0.5740454714320244,0.2698581632750066,0.6440676927840914,-0.5403342846006393,0.18726341608865935,-0.4153174445690003,-0.3579624358049147,-0.8932188334052089,-0.05036827738212931,-0.38729021549251724,-0.716741725534257,-0.02031103064824976,-0.07885920452586644,-0.35052580890149426,0.5762059892469465,-0.5792964813664984,0.047001130362493024,0.8074120657250531,-0.4143152019454744,-0.30338883127711214,-0.9532889463475653,0.7394081717980069,-0.531426423376567,0.8804799609209533,0.17248840876627927,0.9933697290008277,-0.7017729621081328,0.1318329974207185,-0.7412622221481332,0.8434789444174592,0.21582964421649195,0.9346327473320596,0.9622595832381055,0.6180806827235944,-0.4227342812208739,0.11776507149929787,0.6761090571185453,0.9437486675364549,0.20567829881330146,0.43627817064651325,0.03706891666126828,-0.18060685204748517,-0.42983092505792736
ADV,0.5367371131748413,-0.45711208102962625,-0.24604836960270388,1.0,-0.3165314248380578,0.40512945728843563,-0.24905343611846908,-0.7746270352651907,0.6262018516776618,-0.9724711099973724,-0.7999213106000944,-0.6159219923500924,0.894524340205113,0.8839605389759917,0.34526274006908314,-0.2143607539061196,0.3598146546784824,-0.7785728323831543,0.24739464859456692,-0.6135281528172092,-0.33418461768744107,-0.6400662084814832,-0.7531287226045488,0.9187750492333875,-0.3835910674985708,-0.5991293934806826,0.7512368014635779,0.7553438468604764,0.2616453846017573,-0.5545013382074101,-0.2811697453784091,-0.5416936313941371,0.6217658459794252,-0.23900528337877036,0.7939161891047315,0.7971961888107272,0.3439727299153573,-0.13753789134459382,-0.9906582518292484,-0.03720566141329305,-0.2245753246488884,-0.8785755552114428,-0.6985020514821794,0.7033933572889843,0.22806219789920001,-0.48164118770276976,-0.7362447147264277,-0.10669356746649591,0.9570904403447922,-0.8924411303019301,-0.41953260144761595
PART,-0.494957023499455,0.6452603855504337,0.6237451651945082,-0.3165314248380578,1.0,-0.25773852774260747,-0.8361532202003802,-0.32957735259523296,0.38413984255390227,0.1493570824043618,0.8059295467248324,0.04736434326715369,-0.16269389086758904,-0.715839936092432,0.41542810394500423,-0.4518270464626442,0.6198325192285481,0.057239985196610436,0.06994161810071307,0.6821670862664816,-0.6959680160266077,-0.5213929939227655,0.06878183073775863,-0.6119207411455794,-0.6100410753225892,0.25165103570091535,-0.8414057001668098,-0.7989632881263716,-0.3697355650994765,0.1039575564680992,0.2993605287834935,0.8613925936478453,0.5323945005835086,0.5310212716052405,-0.7829154990708864,-0.44340191604574664,0.0058851818905618905,0.10766840280781222,0.19560966910667468,0.3244872026086889,0.3905896843433702,0.3307232487229063,0.15686135955779393,0.438187021760628,0.8221135397332248,0.4734629811354882,0.7634768689794227,-0.41482069532621296,-0.0911390356311531,-0.0888621046988375,0.37430893074316157
CCONJ,-0.43278284075549855,0.38998805783867063,-0.8833211712000241,0.40512945728843563,-0.25773852774260747,1.0,-0.047768674225817695,-0.06736442379460485,-0.2645858265146217,-0.5180387494646376,-0.5333656826225699,0.46987004357571593,-0.04240009382781485,0.3435645319780806,0.7497440577716782,0.7189744928031703,0.5118500577746288,0.24970479039876758,0.9433283023000165,0.22283296518711154,-0.3970323152536877,-0.07535977654430402,-0.8530408206341631,0.6020788743299456,-0.509532241728156,-0.9730294989372853,0.23277142712222054,0.12915461488427293,0.9758583969413576,-0.9635489523720754,0.6998719385389326,-0.6996855895805418,0.2824347729799089,-0.925397686562313,0.6113365384974878,-0.164031583204468,0.9646068244942997,-0.9582799912470175,-0.4349515634660521,-0.9128902213973795,-0.9635858728770221,-0.7923457567845732,0.3702741923440129,0.31741974350671753,-0.25619022144962755,-0.9721227940954211,-0.030074761085182866,-0.7693335811368497,0.1902792529623567,-0.1053714230317748,0.5829412580167304
NOUN,0.2638707645845784,-0.4573829717408131,-0.42601612142550677,-0.24905343611846908,-0.8361532202003802,-0.047768674225817695,1.0,0.761651014115168,-0.7063705714987941,0.4174486159484649,-0.35035831871817413,0.23637107960733558,-0.3080224289730981,0.23067205334099727,-0.6854376765686395,0.5115625668351679,-0.8810554153208792,0.3345951137297202,-0.2954594135823661,-0.3954596374075195,0.9347446999373117,0.8879515046051062,0.41505343163272007,0.08003931310676861,0.8834932633919526,0.15550437449156196,0.4419308514031826,0.4059426587721442,0.14694680757789952,0.282884493570446,-0.22501900503165517,-0.530039769595936,-0.9093803516207324,-0.3301783143211627,0.3223636013544678,0.045199064493576316,-0.2832822804678702,0.05491062317647677,0.3715440026586049,-0.22674254691516962,-0.18950382233240823,0.20651991414919782,0.17737848546765883,-0.859425085297983,-0.9450522522990253,-0.13622108261541116,-0.3891347849801996,0.5587356519093806,-0.43769859068485045,0.5803892475597853,-0.21681624003614483
SCONJ,-0.34778156275961886,0.1640164544483611,-0.2993525451366586,-0.7746270352651907,-0.32957735259523296,-0.06736442379460485,0.761651014115168,1.0,-0.9441105071690131,0.8250965096556631,0.24057821217205294,0.7112687061204156,-0.8474940020571718,-0.4217003459431158,-0.4653009737444813,0.6444708790520102,-0.6529009129888055,0.8317318377107057,-0.1131407550202857,0.27207389978356444,0.6954607421617011,0.9742576154789416,0.577062794071838,-0.46980495433646774,0.6723313050123004,0.27996005919639727,-0.2281027015955699,-0.2790578173771735,0.14660443707942822,0.3251343859669235,0.25254110023732484,-0.09741880480735501,-0.9202845257463771,-0.25861448027065825,-0.23269480924009223,-0.5985662040259035,-0.1711041659691198,-0.11340998613528254,0.832608241368109,-0.341795854253242,-0.19574656095082343,0.5610323955076686,0.7111429623903577,-0.9414305113938104,-0.7919708808868263,0.021622004402433982,0.3005211671367987,0.21077972891346025,-0.9101422178186207,0.9691349398768888,0.328523030331016
VERB,0.49628033723852694,-0.306359456928893,0.5740454714320244,0.6262018516776618,0.38413984255390227,-0.2645858265146217,-0.7063705714987941,-0.9441105071690131,1.0,-0.6334388257040903,-0.07421195468056861,-0.8523749229339226,0.8440952449692074,0.3124351868750261,0.19142560720464158,-0.8592024863435731,0.44942264558691075,-0.895957495288562,-0.20869562909167383,-0.35632436492285774,-0.5277129307306856,-0.9117750877027379,-0.27710832255406437,0.26989414295676045,-0.4693717819003501,0.04846284011708337,0.16400504427390306,0.24751034654007076,-0.4623385199022549,0.004756228751295966,-0.48865049862397386,0.30982607165673826,0.7892591247549642,0.5506982549230577,0.03975545697313749,0.6490721418114983,-0.15783980478576914,0.430301198965374,-0.6698061855235891,0.6324670431385649,0.5056089241706617,-0.2881244078634212,-0.8213536580647622,0.8003387262140245,0.8384944530589963,0.294663914337493,-0.3009121776095501,0.063205604239133,0.8251873198037176,-0.9069646641504288,-0.5251521136654529
ADP,-0.33945284689469696,0.24006078026901875,0.2698581632750066,-0.9724711099973724,0.1493570824043618,-0.5180387494646376,0.4174486159484649,0.8250965096556631,-0.6334388257040903,1.0,0.7038788339569284,0.49948996773758764,-0.8214786362688581,-0.7689439241323074,-0.5513363630352733,0.16860218948105027,-0.5638891064257537,0.6937914573524259,-0.4220433024442262,0.4133683610247054,0.5339348767586352,0.735612416587465,0.8651214615483855,-0.8699381521773825,0.5844057818928508,0.7013583239001739,-0.5957806385954517,-0.5896888466078313,-0.3528198407945211,0.6864808513584902,0.08469472243439419,0.47374050661780875,-0.7574145663593425,0.28936065481001766,-0.7167529385352039,-0.6491404505569557,-0.5059918936070524,0.2830012297644754,0.9932514517018852,0.13437373337102512,0.31068192831704544,0.9221892051480381,0.574847258706474,-0.8233305292889432,-0.33976032044113036,0.5431852095296972,0.5606461895209429,0.32485051103964113,-0.9380345843812768,0.8968345897939305,0.2238970374281921
